1,GALERIA DE ARTES VISUALES ,21.880511,-102.298761,1,0,8,"Venustiano Carranza 111, 20000 Aguascalientes, Tel: 014499161456",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,"arte, galeria",1
2,GALERIA DE LA ANTIGUA ESTACION ,21.884777,-102.281107,1,0,8,Plaza de las Tres Centurias. Calle 28 de agosto S/N barrio la estacion C.P.20289,No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
3,GALERIA DE LA CIUDAD ,21.880556,-102.298114,1,0,8,"Venustiano Carranza 101 Zona Centro, 20000 Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
4,GALERIA EL OBRAJE ,21.881208,-102.293573,1,0,8,"Juan de Montoro 222, Centro, 20000 Aguascalientes, Tel: ‎014490040074",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
5,GALERIA ESCUELA PIA ,21.881711,-102.295732,1,0,8,"Juarez 107, Centro, 20000 Aguascalientes , Tel: 014499155167",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
6,GALERIA FRANCISCO DIAZ DE LEON,21.883119,-102.296636,1,0,8,"Rivero y Gutierrez 110, Zona Centro, 20000 Aguascalientes, Tel: 014499169809",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
7,GALERIA PONS DEL CENTRO CULTURAL LOS ARQUITOS ,21.891791,-102.285127,1,0,8,"Heroe de Nacozari s/n Col. La Purisima, CP 20000 Aguascalientes, Tel: (449) 9169201, 0169242",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
8,MUSEO DE AGUASCALIENTES ,21.8857,-102.291634,1,0,68,"Gral. Ignacio Zaragoza, Aguascalientes, Tel: 01 449 915 9043 ‎",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
9,MUSEO DE ARTE CONTEMPORANEO,21.88298,-102.295019,1,0,68,"Morelos, 20000 Aguascalientes , Tel: 01 449 915 7953 ",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
10,MUSEO DE SITIO DE ARQUITOS ,21.882706,-102.282241,1,0,68,"Alameda s/n esq. Heroe de Nacozari Barrio La Purisima CP 20000, Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
11,MUSEO FERROCARRILERO ,21.883931,-102.280329,1,0,68,"Avenida 28 de Agosto Sn, Barrio de la Estacion, 20000 Aguascalientes, Tel: 01 449 994 2761 ‎ ",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
12,MUSEO JOSE GUADALUPE POSADA ,21.875125,-102.292795,1,0,68,"Jardin del Encino, Vicente Trujillo 222, Barrio el Encino, Aguascalientes ‎",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
13,MUSEOI INSURGENCIA ,22.175881,-102.340836,1,0,68,"Plaza 24 de enero Num. 19 Pabellon de Hidalgo Aguascalientes, Telefono (465) 9-58-18-02",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
14,CENADURIA SAN ANTONIO ,22.148119,-102.280323,1,0,2,"Jose Ma. Chavez 607, Aguascalientes, Tel: 01 449 916 6522",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
15,COCINA ECONOMICA LUPITA,21.853095,-102.269155,1,0,2,"CALLE HEROE INMORTAL #904, FRACCIONAMIENTO MORELOS 1, MZA 041, AGUASCALIENTES",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
16,RESTAURANTE DE ANDREA ALAMEDA ,21.883881,-102.270337,1,0,2,"Av Alameda 821, Heroes, 20190 Ags., Aguascalientes , Tel: 014499703800",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
17,EL CAMPIRANO ,21.898916,-102.305431,1,0,2,"Universidad 411, 20020 Aguascalientes, Tel: 014999962108",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
18,LA CATRINA ,21.879224,-102.299109,1,0,2,"Nieto 238, 20000 Aguascalientes, Tel: 01 449 918 6617 ‎",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
19,LA CHINA HILARIA ,21.885083,-102.297757,1,0,2,"Avenida Luis Donaldo Colosio 502Col.: Los BosquesCodigo postal: 20120Aguascalientes, Telefono: 9960701",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
20,LA ESTACION RESTAURANTE ,21.88124,-102.279451,1,0,2,"28 de Agosto 210, 20259 Aguascalientes , Tel: 01 449 918 6664",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
21,LA MESTIZA RESTAURANTE ,21.863943,-102.302961,1,0,2,"Puerto Rico 107, 20235 Aguascalientes , Tel : 01 449 917 0990",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
22,LA SATURNINA RESTAURANTE ,21.880386,-102.298438,1,0,2,"VENUSTIANO CARRANZA 110CENTRO, AGUASCALIENTES, C.P 20000",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
23,LAS COSTILLAS DE SANCHO ,21.86812,-102.276436,1,0,2,"Villasuncion Sn, Pilar Blanco, 20289 Aguascalientes, 01 449 978 3067",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
24,LAS MERCEDES RESTAURANTE ,21.862325,-102.29941,1,0,2,"Quinta Avenida 801, 20230 Aguascalientes ‎Tel: 01 449 978 1090 ‎",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
25,MESON DEL TACO ,21.893189,-102.317171,1,0,2,"Aguascalientes 508, 20010 Aguascalientes , Tel: 01 449 914 5465",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
26,MITLA RESTAURANTE ,21.868645,-102.249719,1,0,2,Francisco i Madero 190 . Col. Aguascalientes 2000 . C.P. 20117,No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
27,REAL DE MINAS ,22.229538,-102.321629,1,0,2,"Independencia 12, Centro Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
28,XOCOLATL MEXICA,21.879956,-102.297132,1,0,2,"Nieto 115, Aguascalientes , Tel: 01 449 171 3693",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
29,FERIA CULTURAL DE CALAVERAS ,21.897778,-102.304841,1,0,95,"Villas de La Universidad, 20355 Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
30,FERIA DE LA GUAYABA ,21.846841,-102.718644,1,0,95,"Calvillo, Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
31,FERIA DE SAN MARCOS ,21.878336,-102.303521,1,0,95,"Feria Nacional de San Marcos, San Marcos, 20355 Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
32,FERIA DEL SEÑOR DE TEPEZALA,22.224227,-102.173888,1,0,95,"Tepezala, Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
33,FERIA REGIONAL DE MAIZ ,22.147597,-102.412985,1,0,95,"San Jose de Gracia,m Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
34,FIESTA DE LA SEÑORA DE BELEN ,22.238426,-102.0895,1,0,95,"Rela de Asientos, Aguscalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
35,FIESTA DE SAN BLAS,21.890043,-102.247655,1,0,95,"Paseo de la Feria 103, San Marcos, 20070 Aguascalientes ‎",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
36,FIESTA DE SANTIAGO APOSTOL,21.958574,-102.343784,1,0,95,"Jesus Maria, Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
37,FIESTA DEL SEÑOR DE LAS ANGUSTIAS ,21.88404,-102.29689,1,0,95,"Rincon de Romos, Aguascalinetes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
38,FIESTA DEL SEÑOR DE SALiTRE,21.874423,-102.683869,1,0,95,"Calvillo, Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
39,FIESTA REGIONAL AGRICOLA ,22.147597,-102.412985,1,0,95,"San Jose de Gracia,m Aguascalientes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
40,ROMERIA A LA VIRGEN DE LA ASUNCION ,21.906061,-102.301751,1,0,95,"Asientos, San Jose Arenal, Aguascalinetes",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
41,ESTADIO VICTORIA NECAXA ,21.880655,-102.27553,1,0,85,"Manuel Mardrigal 101, Heroes, 20190 Aguascalientes ‎",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
42,PARQUE EL CARACOL ,21.867871,-102.259823,1,0,71,Avenida Aguascalientes s/n esq. Avenida Perseo,No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
43,PLAZA DE TOROS MONUMENTAL ,21.874224,-102.306815,1,0,85,"Rafael Rodriguez Dominguez S/N, Barrio San Marcos, 20070 Aguascalientes, Tel: 52 449 918 6931",No hay Infromación del destino,0000-00-00 00:00:000,0000-00-00 00:00:000,1,3,,1
